,1e-05,5e-05,0.0001,3e-05,7e-05
bior1.3,"[33.55506463886301, -2.508692352450902]","[33.2361384315567, -1.445604994763201]","[32.976263848376426, -0.5793563841622849]","[33.342992826879794, -1.8017863125068452]","[33.1613919300158, -1.1964499896268919]"
sym2,"[32.84758178333769, -2.0624470956167293]","[32.64976723387146, -1.4030652640626151]","[32.34211020939675, -0.37754184914694733]","[32.621828231002304, -1.3099352544987912]","[32.49424723544257, -0.8846652692996813]"
haar,"[32.90101012829403, -2.0812260023461917]","[32.633385397114935, -1.1891435650825244]","[32.49821971262686, -0.7385912834556336]","[32.74098511225378, -1.5478092822120146]","[32.445398398251506, -0.5625202355377734]"
rbio1.3,"[33.59332649721274, -2.308572113546857]","[33.354776551007916, -1.5134056261974465]","[33.109975836708486, -0.6974032451993395]","[33.45286599034377, -1.8403704239836234]","[33.23161327827225, -1.102861383745232]"
coif1,"[31.29646305826452, -1.8059510229033542]","[31.03178703410509, -0.9236976090385909]","[30.637173842514688, 0.3916796962627558]","[31.102703935127725, -1.1600872791140375]","[30.856570119641425, -0.3396412274930434]"
db1,"[32.927072552625546, -2.1545618686789094]","[32.67849421383666, -1.3259674060492674]","[32.414700457408465, -0.44665488462195135]","[32.735215834727484, -1.515039475685347]","[32.543786543053564, -0.8769418367722981]"
