,1e-05,5e-05,0.0001,3e-05,7e-05
haar,"[14.936288122192767, 12.428176402810298]","[15.014832345767067, 12.166362324229304]","[15.108664925977305, 11.853587056861848]","[14.952385133364665, 12.374519698903981]","[15.057516383087618, 12.024082199827465]"
rbio1.3,"[14.415448241724077, 12.585408913346438]","[14.491480501549209, 12.33196804726267]","[14.589044969806748, 12.006753153070868]","[14.434527301449755, 12.521812047594182]","[14.538441429442894, 12.17543162095038]"
coif1,"[14.542490087734501, 12.546000137126843]","[14.61992898509181, 12.287870479269145]","[14.716324922614893, 11.966550687525537]","[14.560564666127224, 12.48575154248443]","[14.656190886370686, 12.166997475006227]"
db1,"[14.930756181104341, 12.429683118459192]","[15.003517615977, 12.187145002216994]","[15.103179770165394, 11.854937821589019]","[14.945476528958364, 12.380615292279114]","[15.04858834567144, 12.03690923656886]"
bior1.3,"[15.613241765549283, 12.223733716057325]","[15.688688319542297, 11.972245202747278]","[15.789777288145238, 11.635281974070814]","[15.630102148915132, 12.167532438171165]","[15.731230315872269, 11.830438548314042]"
sym2,"[14.853438790601452, 12.45234533758995]","[14.929303897616599, 12.199461647539458]","[15.025349368154249, 11.879310079080625]","[14.873965135118624, 12.383924189199377]","[14.97391180324988, 12.050768628761855]"
