,1e-05,5e-05,0.0001,3e-05,7e-05
sym2,"[10.401016611559786, 12.392499545302929]","[9.562301712994511, 15.18821587385385]","[10.004286375565828, 13.71493366528279]","[9.423778681280048, 15.649959312902059]","[9.767882871722936, 14.502945344759098]"
haar,"[10.392973029628894, 12.400825460355868]","[9.558251026150065, 15.183232138618635]","[10.00652554812416, 13.688983732038324]","[9.420930790699018, 15.64096625678879]","[9.777065429023844, 14.453850795706039]"
bior1.3,"[10.420244538737464, 12.401718653863847]","[9.585674372014887, 15.183619209605764]","[10.031618546444776, 13.697138628172803]","[9.450180545507195, 15.635265297964745]","[9.809081757529958, 14.43892792455553]"
coif1,"[10.360108636888244, 12.41108914974435]","[9.520028051951957, 15.21135776619864]","[9.96792329411053, 13.718373625670063]","[9.385953799204525, 15.658271942023413]","[9.725890588307458, 14.525149311680304]"
db1,"[10.43197462539107, 12.394407379307232]","[9.602514867757467, 15.159273238085916]","[10.04405373028261, 13.68747702966877]","[9.459770102483834, 15.635089122331358]","[9.812463479061407, 14.459444533739447]"
rbio1.3,"[10.373917039094597, 12.411770369984554]","[9.533568891023437, 15.212930863555085]","[9.977919623119153, 13.731761756569368]","[9.401393923311439, 15.653514089261746]","[9.755889385163135, 14.471862549756091]"
