,1e-05,5e-05,0.0001,3e-05,7e-05
haar,"[17.447321582854283, 16.62401882126176]","[17.34246982117444, 16.973524693527906]","[17.17372119241679, 17.53602012272007]","[17.38278561670734, 16.83913870841823]","[17.250571610782913, 17.279852061499657]"
bior1.3,"[17.492941970106763, 16.666546640670287]","[17.440912282530793, 16.83997893259019]","[17.160041875868654, 17.776213621463985]","[17.448229649359106, 16.81558770982914]","[17.350909470096802, 17.139988307370157]"
db1,"[17.463943112865678, 16.657089812796695]","[17.411389370598584, 16.83226895368701]","[17.19227410313235, 17.56265317857445]","[17.418199612506516, 16.809568147327234]","[17.3127578867677, 17.161040566456624]"
sym2,"[14.529350246366079, 17.5430820483054]","[14.434873637598326, 17.85800407753124]","[14.35435742845183, 18.126391441352894]","[14.498161290243122, 17.647045235381924]","[14.398066222094409, 17.9806954625443]"
rbio1.3,"[14.467928816850398, 17.588663392328748]","[14.418802748686513, 17.75241695287503]","[14.259691992482328, 18.282786140222314]","[14.433567241063802, 17.70320197828407]","[14.3226357216172, 18.07297370977274]"
coif1,"[14.463447628954672, 17.560574023137317]","[14.345817542688199, 17.95267431069223]","[14.163613721864424, 18.560020380104813]","[14.430498798040574, 17.670403459517647]","[14.334041593946163, 17.991927473165685]"
